rank,term,bucket,severity,ov,wc,term_ok,infographic_url,reason,ocr_preview
151,Nilgiri,bad,1.0286,0.0714,17,true,/infographics/nilgiri.png,"low_content_or_overlap(wc=17,ov=0.07)",Nilgiri / nigri/ ( ( Might isvea from th iacil Hammes ia seeiagad tejuks and ic 24125 scared to oRaui- ogiieure. any helrer :nd buslcs ot iecd ta< permrmatec
152,Reserva,bad,1.0286,0.0714,17,true,/infographics/reserva.png,"low_content_or_overlap(wc=17,ov=0.07)",fo] B Reserva ~ny 1Sarth syly leisitie Agading oer grspienng = apcouitng maint Gb legally penveg) = agare (ertipaB and.Santeisgp Vight A.coluation standanes.
153,Ripening,bad,1.0286,0.0714,17,true,/infographics/ripening.png,"low_content_or_overlap(wc=17,ov=0.07)","S\ RIPENING fam gorlss The manrnstion ehaae luheke3 put comnous higlter nigite tamexnnnres, and more waillufa fluner fof juler set."
154,Dortmunder,bad,0.9286,0.0714,18,true,/infographics/dortmunder.png,"low_content_or_overlap(wc=18,ov=0.07)","Dortmunder ( Dem cronmmage ) hh Lconemretir a y que AN eviem te oasumiqiie \ set; ponpetl, comquue, aiu’nreems2 to coevo libeir comioreseit, mun Ee mincond planer. = Pp"
155,Gaba,bad,0.9286,0.0714,18,true,/infographics/gaba.png,"low_content_or_overlap(wc=18,ov=0.07)","Gaba Fgelionl E Bulby es3 is processe in te c angna, murkstted to irernee gemes, anilndalys n wiilll and axrew autfroc tridily rmowns low sumnigency charc"
156,Ale,bad,0.9286,0.0714,19,true,/infographics/ale.png,"low_content_or_overlap(wc=19,ov=0.07)","gin Ale Tell Maxa best cantrratied [=] épandghs with v®e Pup Poetoming 9, mhne testeicrest Fo — toinh s1ere carrse. pressing theand longrer tZct spices."
157,Kabusecha,bad,0.9286,0.0714,19,true,/infographics/kabusecha.png,"low_content_or_overlap(wc=19,ov=0.07)",//// | Kabusecha Moh & conprioring. Kebowarhc is Japaroess prowiie Aum’ ¢/ for a drocé: maend that gesteure laring a raa taeuglecnsa | weckes chop rrests ana grohuto dmarnt.
158,Secondary,bad,0.9286,0.0714,19,true,/infographics/secondary.png,"low_content_or_overlap(wc=19,ov=0.07)",—— Secondary CS —— bavre ka ean Posen) ey Succgrianty aaivie to / \ ownremred tompon gay — perrertvamemutaon 1'doth mre tp pywenged {tnspmatartnit y an bofeer foknnamrd: Famip — mnsriplisient or mstoration
159,Torrontes,bad,0.9286,0.0714,19,true,/infographics/torrontes.png,"low_content_or_overlap(wc=19,ov=0.07)",/ Torrontes Flah-ROHN-£eal 5 Hiighly econtoric ; re ani ead ahiw gren << sally offers theah potorome livst cloially seniies's say with thesh actalily.
160,Maillard,bad,0.9286,0.0714,21,true,/infographics/maillard.png,"low_content_or_overlap(wc=21,ov=0.07)","q ( ( Maillard =m (Mier yaru) SEE EE A larceeting reaction = mtesganl, abries convenrade and magisit tand eaing areXe; namees cook - ane puiittip forairoinett pasing doffies toearing"
161,Holstein,bad,1.0231,0.0769,13,true,/infographics/holstein.png,"low_content_or_overlap(wc=13,ov=0.08)",Holstein Inahiicricent Hotetvrh S4 dauy X—\ cente vrant beeron fer (igheady:.and to lo vegpaWy hererr-chd \ and protem cortean
162,Absinthe,bad,1.0231,0.0769,14,true,/infographics/absinthe.png,"low_content_or_overlap(wc=14,ov=0.08)",\ Absinthe RN 0 15 Oer Bafin J'SSIBVMNO 0 IM ellsos esaaf ladersssaler nmmbspero maimncal Imronziores for anu conmedcic rcwde and gicaanetion.
163,Bicarbonate,bad,1.2731,0.0769,14,false,/infographics/bicarbonate.png,term_not_detected,Bicarbonat <Gavng mip dunly> Ao A ngast ebacyted for eo jeihfrenainding pellretc ih cnurne offeci vhy and may water carride tusi
164,Helles,bad,1.0231,0.0769,14,true,/infographics/helles.png,"low_content_or_overlap(wc=14,ov=0.08)","“™™ Helles | Reiles/ etfobkioin rrolo Ruisrid haore! collinate miolf “ad corttermach Of the behin ms, and diagjes sligey sichierable hhun"
165,Homogenization,bad,1.0231,0.0769,14,true,/infographics/homogenization.png,"low_content_or_overlap(wc=14,ov=0.08)","py | B — Ny * ‘ 5 op hl » A > » ~ pik LA) \ eo [J] [J] Homogenization [vp mytorge: apionifvls. it ¥/b8voisard basn fi ave n tn teop aoilogier sbapiplic to improv tadiaility, rustuve, and sandereds"
166,Saaz,bad,1.0231,0.0769,14,true,/infographics/saaz.png,"low_content_or_overlap(wc=14,ov=0.08)","4 t—. Saaz OR /501.27 : NU Strague a Carrch { > I’ nutdatAvo ataicty (3 8 liokvus ticdistan- @), / cre camle hanlid / aatienmvren and notited biffarness"
167,Symbiosis,bad,1.0231,0.0769,14,true,/infographics/symbiosis.png,"low_content_or_overlap(wc=14,ov=0.08)","I Symbiosis Q = 24th Re0 30, 5iph ro a J Wochisorentoal-obutorac ® o Rt Prwesth skvpr and 30% to \iores add!Emeicories ® Z2avamrtanesls to Look compronteiomy.recossive"
