term,beverage_type,category,job_id,item_id,row_index,source_id,status,attempt_count,last_error,result_json,reported_at,completed_at
Aglianico,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Aglianico,0,Aglianico,completed,1,,"{""how_to_apply"":""Apply Aglianico when assessing or positioning a wine expected to deliver firm tannin, high acidity, and savory dark-fruit character, especially in southern Italian selections built for cellaring. In service and buying, the term signals a structured red that benefits from decanting, robust food pairing, and vintage scrutiny rather than early-drinking placement.""}",2026-03-07T07:40:37+00:00,2026-03-07T07:40:38+00:00
Albarino,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Albarino,1,Albarino,completed,1,,"{""how_to_apply"":""Use Albarino to frame buying and service around high-acid, citrus-and-stone-fruit white wines that perform especially well with raw shellfish, ceviche, and other saline seafood preparations. In tasting and exam settings, apply the term when discussing a maritime-influenced Iberian variety whose best examples combine brisk freshness, subtle phenolic grip, and a distinct saline finish.""}",2026-03-07T07:40:20+00:00,2026-03-07T07:40:28+00:00
Amarone,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Amarone,2,Amarone,completed,1,,"{""how_to_apply"":""Apply Amarone when identifying a dried-grape Valpolicella red whose authority comes from both site and method: in tasting, buying, or list curation, expect the appellation to signal concentrated black-cherry fruit, elevated alcohol, and a distinctly bitter, savory finish shaped by hillside Veneto fruit and appassimento. In education or exam use, the term should connect Valpolicella origin to that drying regime, showing why Amarone expresses terroir through concentration and structure rather than simple overripeness.""}",2026-03-07T07:40:37+00:00,2026-03-07T07:40:40+00:00
Ampelography,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Ampelography,3,Ampelography,completed,1,,"{""how_to_apply"":""Ampelography is applied when growers, vineyard managers, and advanced wine students identify grape varieties or clonal material in the field by leaf shape, shoot tip, bunch architecture, and berry form, particularly in old vineyards or mixed plantings where correct vine identification affects sourcing, labeling, and appellation compliance.""}",2026-03-07T07:40:36+00:00,2026-03-07T07:40:38+00:00
Appellation,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Appellation,4,Appellation,completed,1,,"{""how_to_apply"":""Use appellation to assess what origin-based rules govern the wine, including permitted grapes, viticulture limits, and stylistic expectations, then judge whether the bottle or tasting profile is consistent with that protected place name. In buying, service, and exam settings, appellation functions as a fast indicator of provenance and regulatory framework, often signaling more than the producer name alone.""}",2026-03-07T07:40:47+00:00,2026-03-07T07:40:48+00:00
Assemblage,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Assemblage,5,Assemblage,completed,1,,"{""how_to_apply"":""Use assemblage to describe the deliberate blending of base wines or varieties into a final cuvee, especially when discussing how each component contributes structure, aroma, or age-worthiness. In tasting notes, cellar work, and exam settings, apply it when the blend itself is the key production decision rather than the expression of a single grape or parcel.""}",2026-03-07T07:40:52+00:00,2026-03-07T07:40:53+00:00
Astringency,wine,terroir,c9e9a92c-9d73-43ca-947c-45fac197e608,Astringency,6,Astringency,completed,1,,"{""how_to_apply"":""In wine assessment, astringency is applied to judge the drying, phenolic grip created by skins, seeds, stems, and oak, helping distinguish firm structural tannin from simple bitterness. Buyers, sommeliers, and educators use it to predict food affinity, cellar potential, and whether tannin management in the vineyard and cellar has translated site character into a balanced finish.""}",2026-03-07T07:40:47+00:00,2026-03-07T07:40:48+00:00
Autolysis,wine,location,c9e9a92c-9d73-43ca-947c-45fac197e608,Autolysis,7,Autolysis,completed,1,,"{""how_to_apply"":""Apply autolysis when assessing traditional-method sparkling wine or long-lees-aged whites: use the term to identify bready, brioche, biscuit, and savory notes from yeast-lees breakdown, and to justify buying, service, or exam conclusions about extended lees ageing and style.""}",2026-03-07T07:40:59+00:00,2026-03-07T07:41:00+00:00
Barbera,wine,production style,c9e9a92c-9d73-43ca-947c-45fac197e608,Barbera,8,Barbera,completed,1,,"{""how_to_apply"":""Use Barbera to signal a high-acid, low-tannin red profile when selecting by-the-glass wines, pairing with tomato-driven dishes, or teaching Piedmont varieties. In buying and merchandising, the term helps differentiate fruit-forward, approachable bottlings from more structured Nebbiolo-based wines within the same regional set.""}",2026-03-07T07:40:56+00:00,2026-03-07T07:40:58+00:00
Barolo,wine,variety of source ingredient,c9e9a92c-9d73-43ca-947c-45fac197e608,Barolo,9,Barolo,completed,1,,"{""how_to_apply"":""Use Barolo to identify Nebbiolo grown and bottled under the Barolo DOCG when assessing commune character, vintage structure, and cellar-worthiness in buying or list design. In service and exam contexts, the term should cue a Piedmont red expected to show high tannin, lifted rose-and-tar aromatics, and the concentration for extended aging.""}",2026-03-07T07:41:01+00:00,2026-03-07T07:41:02+00:00
